Timestamp,Quantity
2024-05-29,248384350257.18686
2024-05-30,7349685107.841657
2024-05-31,65869812206.490204
2024-06-01,0.0
2024-06-02,0.0
2024-06-03,0.0
2024-06-04,0.0
2024-06-05,0.0
2024-06-06,0.0
2024-06-07,0.0
2024-06-08,0.0
2024-06-09,0.0
2024-06-10,0.0
2024-06-11,0.0
2024-06-12,0.0
2024-06-13,0.0
2024-06-14,0.0
2024-06-15,0.0
2024-06-16,0.0
2024-06-17,0.0
2024-06-18,0.0
2024-06-19,0.0
2024-06-20,0.0
2024-06-21,0.0
2024-06-22,0.0
2024-06-23,0.0
2024-06-24,0.0
2024-06-25,0.0
2024-06-26,0.0
2024-06-27,0.0
2024-06-28,0.0
2024-06-29,0.0
2024-06-30,0.0
2024-07-01,0.0
2024-07-02,0.0
2024-07-03,0.0
2024-07-04,0.0
2024-07-05,0.0
2024-07-06,0.0
2024-07-07,0.0
2024-07-08,0.0
2024-07-09,0.0
2024-07-10,0.0
2024-07-11,0.0
2024-07-12,0.0
2024-07-13,0.0
2024-07-14,0.0
2024-07-15,0.0
2024-07-16,0.0
2024-07-17,0.0
2024-07-18,0.0
2024-07-19,0.0
2024-07-20,0.0
2024-07-21,0.0
2024-07-22,0.0
2024-07-23,0.0
2024-07-24,0.0
2024-07-25,0.0
2024-07-26,0.0
2024-07-27,0.0
2024-07-28,0.0
2024-07-29,0.0
2024-07-30,0.0
2024-07-31,0.0
2024-08-01,0.0
2024-08-02,0.0
2024-08-03,0.0
2024-08-04,0.0
2024-08-05,0.0
2024-08-06,0.0
2024-08-07,0.0
2024-08-08,0.0
2024-08-09,0.0
2024-08-10,0.0
2024-08-11,0.0
2024-08-12,0.0
2024-08-13,0.0
2024-08-14,0.0
2024-08-15,0.0
2024-08-16,0.0
2024-08-17,0.0
2024-08-18,0.0
2024-08-19,0.0
2024-08-20,0.0
2024-08-21,0.0
2024-08-22,49771351548.269585
2024-08-23,38708196643.966866
2024-08-24,74624608168.55588
2024-08-25,90507575855.11632
2024-08-26,91320150795.19914
2024-08-27,72390327906.06856
2024-08-28,100010425459.79942
2024-08-29,96946719283.40009
2024-08-30,82263274953.35971
2024-08-31,58435347722.98874
2024-09-01,95816824933.71135
2024-09-02,69157569837.32996
2024-09-03,87469045044.81355
2024-09-04,73185042476.46602
2024-09-05,102069666688.65811
2024-09-06,87555581143.96057
2024-09-07,90322819553.48164
2024-09-08,75161956050.80919
2024-09-09,66900988452.96983
2024-09-10,85785654149.47873
2024-09-11,84450884638.34114
2024-09-12,35429271362.12101
2024-09-13,29002162463.333546
2024-09-14,37176022756.05015
2024-09-15,39488903661.625046
2024-09-16,12923716617.787178
2024-09-17,34838494109.89442
2024-09-18,97196875049.34409
